ImageName,Label,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Feature 18,Feature 19
heart (1).jpg,Heart,1.139334766,0.800629468,0.239975157,1.095052108,1.03647082,0.896687023,0.835456389,0.696875978,0.596532671,0.532949927,0.346520274,0.113859689,0.268294315,0.32690726,0.43996002,0.564385592,0.639028728,0.769821338,0.820160241
heart (10).jpg,Heart,1.18603618,0.80843357,0.254773136,0.928733494,0.847449601,0.710116487,0.606942601,0.478788743,0.363232441,0.307685736,0.176387461,0.234930028,0.406371114,0.468098996,0.552061342,0.687768773,0.76028813,0.89678526,0.968026286
heart (100).jpg,Heart,1.229274015,0.792612487,0.240634598,1.064504287,1.001206477,0.869659638,0.786479078,0.664570196,0.542145869,0.479221573,0.300221807,0.145155552,0.306291311,0.36879395,0.499787043,0.627848829,0.707717011,0.843849424,0.895023743
heart (1000).jpg,Heart,1.17785305,0.82413827,0.263370344,0.954862402,0.908467871,0.764823688,0.717213325,0.557034771,0.463459357,0.397421355,0.198534869,0.260821488,0.417004355,0.485916026,0.634217156,0.801270582,0.898113039,1.058268906,1.114618702
heart (103).jpg,Heart,1.207515004,0.82155797,0.242595181,0.997240748,0.92673244,0.776620826,0.701674768,0.557126752,0.460376737,0.40644935,0.256528375,0.152335468,0.304423758,0.359425807,0.4459095,0.575741493,0.650642785,0.789340414,0.857460791
heart (104).jpg,Heart,1.228549569,0.802431728,0.261530724,1.00363971,0.931055525,0.782748313,0.689300963,0.534619332,0.404154838,0.339635588,0.201458111,0.182850401,0.32461579,0.388521294,0.511015435,0.655720196,0.734959336,0.876933986,0.938193609
heart (105).jpg,Heart,1.175330801,0.812502543,0.252558499,0.958714887,0.88260078,0.74065666,0.647545095,0.513183609,0.392397633,0.334666992,0.212244288,0.178424695,0.31849796,0.381671455,0.494030322,0.640673764,0.718376535,0.863622263,0.934143661
heart (106).jpg,Heart,1.218123475,0.817180079,0.276787787,0.946221578,0.886567258,0.738253169,0.676968861,0.518718051,0.420758303,0.354912673,0.187106371,0.205947607,0.361941011,0.425902598,0.531661401,0.671994117,0.750561818,0.893812016,0.958444236
heart (107).jpg,Heart,1.207473629,0.784584727,0.228823344,0.933146482,0.879848638,0.749908713,0.702095642,0.570036379,0.482346437,0.418723169,0.238854726,0.26537745,0.451516108,0.521283374,0.62250757,0.750139522,0.820182649,0.950375933,1.011573595
heart (108).jpg,Heart,1.164824283,0.792391706,0.242442753,0.924414025,0.860626015,0.712639679,0.647283491,0.502790088,0.390258025,0.325359947,0.185286345,0.171401543,0.294707887,0.352198354,0.47137389,0.601145802,0.675100749,0.813936737,0.873590352
